explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	mh8d - Took prescribed medication when anxious/depressed	No	female	15-29	679189	true
	mh8d - Took prescribed medication when anxious/depressed	No	female	30-49	679191	true
	mh8d - Took prescribed medication when anxious/depressed	No	female	50-64	679193	true
	mh8d - Took prescribed medication when anxious/depressed	No	female	65+	679195	true
	mh8d - Took prescribed medication when anxious/depressed	No	female	all	679197	true
	mh8d - Took prescribed medication when anxious/depressed	No	male	15-29	679199	true
	mh8d - Took prescribed medication when anxious/depressed	No	male	30-49	679201	true
	mh8d - Took prescribed medication when anxious/depressed	No	male	50-64	679203	true
	mh8d - Took prescribed medication when anxious/depressed	No	male	65+	679205	true
	mh8d - Took prescribed medication when anxious/depressed	No	male	all	679207	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	all	15-29	679210	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	all	30-49	679211	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	all	50-64	679213	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	all	65+	679215	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	all	Don't know/Refused	679217	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	all	all	679219	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	female	15-29	679221	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	female	30-49	679223	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	female	50-64	679225	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	female	65+	679227	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	female	all	679229	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	male	15-29	679231	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	male	30-49	679233	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	male	50-64	679235	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	male	65+	679236	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	all	15-29	679240	true
	mh8d - Took prescribed medication when anxious/depressed	Yes	male	all	679241	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	all	30-49	679243	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	all	50-64	679245	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	all	65+	679247	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	all	Don't know/Refused	679249	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	all	all	679251	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	female	15-29	679253	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	female	30-49	679255	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	female	50-64	679257	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	female	65+	679259	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	female	all	679261	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	male	15-29	679263	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	male	30-49	679265	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	male	50-64	679268	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	male	65+	679269	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Don't know/Refused	male	all	679271	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	all	15-29	679273	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	all	30-49	679275	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	all	50-64	679277	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	all	Don't know/Refused	679279	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	all	65+	679280	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	all	all	679283	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	female	15-29	679285	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	female	30-49	679287	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	female	50-64	679289	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	female	65+	679291	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	female	all	679293	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	male	15-29	679296	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	male	30-49	679297	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	male	50-64	679299	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	male	65+	679301	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	No	male	all	679303	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	all	15-29	679305	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	all	30-49	679307	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	all	50-64	679309	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	all	65+	679311	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	all	Don't know/Refused	679313	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	all	all	679314	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	female	15-29	679317	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	female	30-49	679319	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	female	50-64	679320	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	female	65+	679323	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	female	all	679325	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	male	15-29	679326	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	male	30-49	679329	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	male	50-64	679331	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	male	65+	679333	true
	mh8e - Improved healthy lifestyle behaviors when anxious/depressed	Yes	male	all	679335	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	all	15-29	679337	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	all	30-49	679339	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	all	50-64	679341	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	all	65+	679344	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	all	Don't know/Refused	679345	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	all	all	679347	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	female	15-29	679349	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	female	30-49	679351	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	female	50-64	679353	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	female	65+	679355	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	female	all	679357	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	male	15-29	679358	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	male	30-49	679361	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	male	50-64	679362	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	male	65+	679365	true
	mh8f - Made a change to work situation when anxious/depressed	Don't know/Refused	male	all	679367	true
	mh8f - Made a change to work situation when anxious/depressed	No	all	15-29	679369	true
	mh8f - Made a change to work situation when anxious/depressed	No	all	30-49	679371	true
	mh8f - Made a change to work situation when anxious/depressed	No	all	50-64	679373	true
	mh8f - Made a change to work situation when anxious/depressed	No	all	65+	679375	true
	mh8f - Made a change to work situation when anxious/depressed	No	all	Don't know/Refused	679377	true
	mh8f - Made a change to work situation when anxious/depressed	No	all	all	679379	true
	mh8f - Made a change to work situation when anxious/depressed	No	female	15-29	679381	true
	mh8f - Made a change to work situation when anxious/depressed	No	female	30-49	679383	true
	mh8f - Made a change to work situation when anxious/depressed	No	female	50-64	679385	true
	mh8f - Made a change to work situation when anxious/depressed	No	female	65+	679387	true
	mh8f - Made a change to work situation when anxious/depressed	No	female	all	679389	true
	mh8f - Made a change to work situation when anxious/depressed	No	male	15-29	679391	true
	mh8f - Made a change to work situation when anxious/depressed	No	male	30-49	679393	true
	mh8f - Made a change to work situation when anxious/depressed	No	male	65+	679396	true
	mh8f - Made a change to work situation when anxious/depressed	No	male	50-64	679397	true
	mh8f - Made a change to work situation when anxious/depressed	No	male	all	679399	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	all	15-29	679401	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	all	30-49	679403	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	all	50-64	679405	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	all	65+	679407	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	all	Don't know/Refused	679409	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	all	all	679411	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	female	15-29	679413	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	female	30-49	679415	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	female	50-64	679417	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	female	65+	679419	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	male	15-29	679421	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	female	all	679422	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	male	30-49	679425	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	male	50-64	679427	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	male	65+	679429	true
	mh8f - Made a change to work situation when anxious/depressed	Yes	male	all	679431	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	all	15-29	679433	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	all	30-49	679435	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	all	50-64	679437	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	all	65+	679439	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	all	Don't know/Refused	679441	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	all	all	679443	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	female	15-29	679445	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	female	30-49	679448	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	female	50-64	679449	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	female	65+	679451	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	female	all	679454	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	male	15-29	679455	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	male	30-49	679457	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	male	50-64	679459	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	male	65+	679461	true
	mh8g - Made a change to personal relationships when anxious/depressed	Don't know/Refused	male	all	679463	true
	mh8g - Made a change to personal relationships when anxious/depressed	No	all	15-29	679465	true
